path,size,file_label,infer_time
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX141E.csv,427792,tabular,0.363570213
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX79W.csv,418252,tabular,0.281089067
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX96W.csv,716353,tabular,0.355197906
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX136E.csv,443089,tabular,0.242168903
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX80W.csv,417769,tabular,0.26771307
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX120E.csv,777172,tabular,0.310906172
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX121W.csv,758814,tabular,0.392610073
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX81E.csv,347570,tabular,0.244179964
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX160W.csv,393868,tabular,0.248960018
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX137W.csv,493170,tabular,0.412158012
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX78E.csv,361802,tabular,0.285996199
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX97E.csv,395147,tabular,0.28724885
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX79E.csv,353942,tabular,0.274827003
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX96E.csv,785096,tabular,0.268985271
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX136W.csv,384591,tabular,0.236852169
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX80E.csv,346508,tabular,0.214506865
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX120W.csv,762881,tabular,0.277053833
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX121E.csv,761983,tabular,0.34699297
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX81W.csv,425478,tabular,0.244994164
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX160E.csv,422702,tabular,0.311045885
/Users/ryan/Documents/CS/CDAC/xtract_autoencoder/datasets/cdiac_dataset/pub8/oceans/VOS_Pyxis_Line/PX137E.csv,398090,tabular,0.203065157
